Feature,Importance,Coefficient
AQI_weekly_mean_lag_4@w3,0.019122764,-0.0014915457
PM25_weekly_mean@w3,0.019069515,-0.007236756
AQI_weekly_max@w4,0.019020502,0.016288415
AQI_weekly_mean_lag_1@w6,0.018416524,0.0015591253
AQI_weekly_mean_lag_4@w4,0.018411122,0.016072504
AQI_weekly_max@w1,0.018157365,0.0031807576
AQI_weekly_mean_lag_2@w6,0.018119501,0.009881487
PM10_weekly_mean@w5,0.017849768,-0.01497727
PM10_weekly_mean_lag_2@w4,0.017504519,-0.017504519
PM10_weekly_mean@w6,0.017397407,-0.017397407
PM25_weekly_mean_lag_2@w5,0.017303938,-0.0009724819
PM25_weekly_mean@w1,0.017248185,-0.0074391677
PM25_weekly_mean_lag_1@w0,0.017219517,-0.006581979
PM25_weekly_mean_lag_1@w7,0.017017847,-0.0071047274
PM25_weekly_mean_lag_1@w6,0.016969759,-0.008123122
AQI_weekly_max@w6,0.016801424,-0.0039298474
AQI_weekly_max@w0,0.016560253,1.9267667e-05
AQI_weekly_mean_lag_2@w4,0.016542764,0.01161268
AQI_weekly_mean_lag_1@w4,0.015929587,0.00010412256
PM10_weekly_mean@w7,0.0157322,-0.0157322
PM10_weekly_mean_lag_4@w1,0.015719656,-0.015719656
AQI_weekly_max@w2,0.015706781,0.0061671627
AQI_weekly_mean@w5,0.015678564,0.0013651211
PM10_weekly_mean_lag_2@w3,0.015434583,-0.007448284
PM25_weekly_mean_lag_2@w1,0.014895341,0.00020600623
AQI_weekly_mean_lag_4@w1,0.014604061,-0.004613151
AQI_weekly_max@w5,0.014598155,0.008201767
AQI_weekly_mean_lag_2@w2,0.014438035,-0.004062721
PM25_weekly_mean@w5,0.014250877,0.00033663947
AQI_weekly_mean_lag_2@w1,0.014112706,-0.0051674433
PM25_weekly_mean_lag_1@w2,0.014110265,0.0038298466
PM10_weekly_mean_lag_1@w6,0.014095235,-0.014095235
PM10_weekly_mean@w4,0.014057079,-0.010210392
AQI_weekly_max@w7,0.014039907,0.0060145278
PM25_weekly_mean_lag_4@w0,0.013950921,0.0012645712
PM25_weekly_mean_lag_2@w6,0.013927608,-0.00944027
PM25_weekly_mean_lag_1@w1,0.013520806,-6.780028e-05
PM25_weekly_mean_lag_2@w0,0.01331394,-0.00036003254
PM25_weekly_mean_lag_2@w3,0.013181713,-0.0015314643
PM10_weekly_mean_lag_2@w5,0.012941505,-0.012941505
AQI_weekly_mean@w7,0.01292481,0.009755979
PM25_weekly_mean@w7,0.012849427,-0.012849427
AQI_weekly_mean_lag_4@w2,0.012728384,0.009206884
PM10_weekly_mean_lag_4@w3,0.012670701,-0.011207316
PM10_weekly_mean_lag_1@w3,0.011860098,-0.006736177
AQI_weekly_mean_lag_1@w1,0.011739588,-0.0041202265
PM25_weekly_mean@w2,0.0115903355,-0.0012673028
AQI_weekly_mean_lag_2@w0,0.011524618,-0.004324976
PM10_weekly_mean_lag_2@w6,0.011368696,-0.008053437
PM10_weekly_mean_lag_2@w1,0.010885862,-0.0045172507
AQI_weekly_mean_lag_1@w7,0.010406599,0.004030122
PM10_weekly_mean_lag_4@w2,0.010280851,-0.010280851
AQI_weekly_mean_lag_1@w2,0.009750834,0.0020753425
AQI_weekly_mean@w2,0.009573994,-0.00630323
PM25_weekly_mean@w6,0.009571064,0.0005166256
PM10_weekly_mean_lag_1@w1,0.009466674,-0.009466674
PM10_weekly_mean_lag_4@w4,0.009289352,-0.0022360496
AQI_weekly_mean@w4,0.0086342925,0.0004945856
PM25_weekly_mean_lag_2@w2,0.008522784,0.0010630521
PM10_weekly_mean_lag_1@w4,0.007849124,-0.007849124
PM10_weekly_mean_lag_2@w0,0.0077300915,0.0022164856
PM25_weekly_mean_lag_4@w3,0.0072965617,-0.006626995
PM10_weekly_mean_lag_1@w7,0.006807836,-0.005759203
PM25_weekly_mean_lag_1@w4,0.0061545633,-0.003911087
PM25_weekly_mean_lag_4@w2,0.006023912,-0.00070445024
PM25_weekly_mean_lag_1@w5,0.005443507,-0.00083022984
PM10_weekly_mean_lag_2@w2,0.0044429107,-0.0019287367
PM25_weekly_mean@w4,0.004403372,-0.00083350064
PM25_weekly_mean_lag_1@w3,0.004317889,-0.0015681697
PM10_weekly_mean_lag_1@w2,0.0042441427,0.0024542294
PM10_weekly_mean@w2,0.0025499067,-0.000664049
NO2_weekly_mean@w3,0.0,0.0
CO_weekly_mean@w3,0.0,0.0
CO_weekly_mean@w7,0.0,0.0
NO2_weekly_mean@w7,0.0,0.0
CO_weekly_mean@w5,0.0,0.0
NO2_weekly_mean@w5,0.0,0.0
NO2_weekly_mean@w4,0.0,0.0
CO_weekly_mean@w4,0.0,0.0
NO2_weekly_mean@w6,0.0,0.0
CO_weekly_mean@w6,0.0,0.0
CO_weekly_mean@w2,0.0,0.0
NO2_weekly_mean@w2,0.0,0.0
CO_weekly_mean@w1,0.0,0.0
NO2_weekly_mean@w1,0.0,0.0
NO2_weekly_mean@w0,0.0,0.0
CO_weekly_mean@w0,0.0,0.0
